Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Spending,Imports,Inflation Rate,Investment,Life Expectancy,Population,Unemployment Rate,exchange_rate,Trade_Balance,Inflation_diff,Unemployment_diff,GDP_growth_calc,Population_growth,Investment_growth,Investment_to_GDP,Trade_to_GDP,Inflation_volatility,Inflation_shock
India,1992,25486029046.6975,276512438.973893,288208070278.013,5.48239602040357,319.182472626315,31458044828.7105,27639649994.19,11.7878170418134,79084882875.8473,59.445,902957070.0,25.9808576702657,25.9180833333333,-2153620947.4925003,-0.15013642216046186,0.00780056025256437,0.06702099363470349,0.02152831295232782,0.16462551484598387,0.2744020415513,-0.007472451917862888,2.5343974848195674,0
India,1993,27466541462.9135,550370024.929383,279295648982.529,4.75077621776924,302.884806246174,30729964715.9822,27419354118.7633,6.32689048779867,63445946163.9591,59.823,922118387.0,26.1767814681192,30.4932916666667,47187344.15019989,-0.4632686895838213,0.00754108275947063,-0.030923566043403516,0.021220629016172277,-0.19774874973816736,0.22716410511618063,0.0001689512325813269,2.642776360799682,0
India,1994,32361214431.4321,973271468.722873,327274843459.429,6.65892407028434,347.73421473994,34153792203.9115,33349501147.7089,10.2479355556119,86106556408.0966,60.237,941163767.0,26.3710188638872,31.3737425,-988286716.2768021,0.6197428381880352,0.007420216882070285,0.17178640144122448,0.020653942344607046,0.3571640366994797,0.2631016655539884,-0.0030197454403467347,3.1823425323152033,0
India,1995,39068855117.8518,2143628110.28391,360281909643.489,7.57449183788519,375.17600537305,37974677098.3764,43318425767.7707,10.2248861637544,105030596995.344,60.63,960301044.0,26.5661772139368,32.4270766666667,-4249570649.9188995,-0.00224917416121706,0.007400485777849575,0.10085427231485866,0.020333631266958863,0.21977467659440575,0.291523371515587,-0.01179512636125414,2.850293031748247,0
India,1996,40803004618.1754,2426057021.91092,392896866204.516,7.54952224920051,401.046754673579,40589741793.8297,45357266003.2021,8.97715233826453,89420392519.4172,61.027,979678458.0,26.7648638746349,35.4331733333333,-4554261385.026703,-0.12202911656003457,0.007478933047012415,0.09052621208014733,0.020178478531363453,-0.14862530464926127,0.22759253180927866,-0.011591493281740906,2.764540763238184,0
India,1997,44459225642.5392,3577330042.34585,415867563592.829,4.04982084998183,416.228116203753,45864894957.4331,49607467421.0891,7.16425211462724,106847742358.73,61.439,999133762.0,26.9696862023486,36.3132858333333,-5148241778.549904,-0.20194602423197383,0.007652657180439171,0.05846495445539124,0.019858866795660512,0.1948923433268146,0.2569273290651332,-0.012379522302899503,2.040841201996362,0
India,1998,46426465025.0477,2634651657.7714,421351317224.941,6.18441582172117,413.630864056851,50182477611.2604,53431564328.4224,13.2308389767977,105234050234.063,61.852,1018665080.0,27.1832515534447,41.259365,-7005099303.374702,0.8467857865839648,0.007918718426820126,0.013186298024149501,0.019548251438229247,-0.015102725514304138,0.2497536994239018,-0.016625317204443407,1.7836686838065627,0
India,1999,52544483402.6936,2168591054.37924,458821052615.79,8.84575555939531,441.927991436397,55863709567.0988,61314704757.0345,4.66982038037594,142042225086.271,62.284,1038225823.0,27.4081672842903,43.0554283333334,-8770221354.340897,-0.6470503201977453,0.008274055456662266,0.08892753827762578,0.0192023299748334,0.3497743816791119,0.3095808796838603,-0.019114688186910533,2.215471097731409,0
India,2000,60878472821.2004,3584217307.18755,468395521654.458,3.84099115659129,442.750218937263,55963126271.9725,65124245375.0531,4.0094359104519,120271401428.678,62.749,1057922733.0,27.6470407512523,44.941605,-4245772553.8526993,-0.14141538991503477,0.008715411887423752,0.020867545166210144,0.01897170111131019,-0.15327008320497826,0.25677316683954954,-0.009064502877516548,3.2176785078030594,0
India,2001,60963415576.6447,5128093561.62688,485440139204.171,4.82396626555771,450.357900514128,57094798714.0268,65218276482.1322,3.77929312235637,145184897910.805,63.158,1077898575.0,27.9028652096636,47.1864141666667,-4254860905.487503,-0.05740029102238253,0.00925323114010701,0.03638936915858704,0.018882137018980227,0.20714397758889436,0.2990788898273238,-0.008764954856149532,3.7172013994876054,0
