Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Debt,Government Spending,Imports,Inflation Rate,Interest Rate,Investment,Life Expectancy,Population,Unemployment Rate
Denmark,2017,183533038706.585,3607276299.5179,331610593961.988,3.05647723922718,57521.5514992225,,81077670234.7136,162057186530.798,1.14713216957601,,72811155216.0703,81.1024390243903,5764980.0,88.0161943799509
Denmark,2018,202458132658.687,8764023726.34583,355293374912.393,1.8600074900921,61324.7665045565,,86624459287.2324,184150748807.726,0.813609467455631,,80055821274.1853,80.9536585365854,5793636.0,88.1059762310689
Denmark,2019,203616268094.231,-3801733788.9774,345401473012.615,1.71140093932736,59404.2663247723,,83603655473.5958,182858534958.076,0.75813157251162,,75594565951.856,81.4512195121951,5814422.0,88.2096490810669
Denmark,2020,195728280394.404,1294050740.46454,355631021931.621,-1.78010601831291,60985.4885601514,,87769691850.6868,175669403452.283,0.420711974110024,,80951056391.3056,81.6024390243903,5831404.0,88.2394485473632
Denmark,2021,240447056409.375,16997286703.2255,406110162088.054,6.50025445756295,69340.7334922138,,97380029747.5403,215701858421.281,1.85304543989689,,97298765263.6197,81.4048780487805,5856733.0,88.2616449318149
Denmark,2022,283101737204.979,27627359889.4076,400114306337.077,0.443832614908331,67781.0940939514,,87146159661.7197,245032442023.852,7.69656699889259,,99137135074.4523,81.3048780487805,5903037.0,88.3880239837703
Denmark,2023,280481748656.828,8233198565.59846,404651706117.557,0.604587766175584,68043.5466971243,,91520470897.6176,244049390819.477,3.30517811237605,,95678357343.8197,81.7536585365854,5946952.0,88.552638542867
Denmark,2024,301421099196.281,18240080341.0515,424524722037.047,3.47783593140312,71026.4832271897,,,257954032293.244,1.37220049768925,,98517344953.3195,82.2536585365854,5976992.0,88.6960552688405
Dominican Republic,1980,1375636561.0,92700000.0,6761300000.0,7.96873850744203,1180.18089253045,,504000000.0,2303519820.0,16.7531356897101,,1665300000.0,63.391,5729037.0,51.4817087440903
Dominican Republic,1981,1634265438.0,79700000.0,7561300000.0,4.27986747952673,1288.46563140235,,693000000.0,2192903500.0,7.51463890696157,,1716700000.0,63.776,5868453.0,52.1349771534049
Dominican Republic,1982,1359153860.0,-1400000.0,8267400000.0,1.69870863097844,1376.26820466534,,779400000.0,2036678800.0,7.64624306606147,,1590500000.0,64.198,6007114.0,52.6418651281588
Dominican Republic,1983,1565486937.0,48200000.0,9220600000.0,4.62794634845423,1499.95575255789,,786300000.0,2246418800.0,5.62862329448987,,1822224770.0,64.63,6147248.0,53.0517255683344
Dominican Republic,1984,2519773064.0,68500000.0,11594000000.0,1.25289597452468,1843.52460788928,,870754000.0,3479368010.0,20.1516781053536,,2072748939.0,65.134,6289040.0,53.399614337093
Dominican Republic,1985,1319814444.99275,36200000.0,5044579979.23285,-2.12253497623708,784.488809604008,,357288807.328131,1555450606.05126,45.3361755532178,,876339951.25631,65.614,6430404.0,53.6993945633686
Dominican Republic,1986,1404388029.885,50000000.0,6122128557.57243,3.52199319901496,931.659530115685,,446677429.895263,1621540298.58146,7.63897266579929,,1198217057.75474,66.059,6571208.0,53.9649293760952
Dominican Republic,1987,1487383601.25657,89000000.0,5827050753.25937,10.1173673617477,868.087557831807,,233540732.602676,1895596549.89989,13.5507237827822,,1331071773.56806,66.49,6712515.0,54.2100819042068
Dominican Republic,1988,1853151083.26079,106100000.0,5374299981.49698,2.15596333107848,783.913142122635,,190375601.40937,1981547781.3804,43.8638323515052,,1247873049.84182,66.914,6855734.0,54.4487152766372
Dominican Republic,1989,2050889905.36278,110000000.0,6686593059.93691,4.40053881491089,954.914504449885,,196046703.470032,2594465299.68454,40.6579161175004,,1722716005.83596,67.331,7002295.0,54.6946926223206
Dominican Republic,1990,2165302159.4548,132800000.0,7073675544.79021,-5.45431239511254,989.163941207659,,206978898.103293,2729569106.07251,50.4624792378524,,1651679129.06291,67.746,7151166.0,54.9618770701908
Dominican Republic,1991,3937453795.62321,145000000.0,9824483339.94518,0.944138889056532,1345.84673690623,,315921245.99403,4225814431.53379,47.0791574105359,-33.356799609324,1635586767.05853,68.154,7299853.0,55.2641317491819
Dominican Republic,1992,4271216000.0,179700000.0,11605382504.0,11.2374641300752,1558.29782071075,,446024000.0,5067032000.0,4.25902638893392,21.5886662760323,2180798504.0,68.525,7447474.0,55.6153197882278
Dominican Republic,1993,4760104000.0,190700000.0,13081042400.0,7.36669526975602,1722.41995993981,,586432000.0,5443488000.0,5.2503388069097,23.7264089986612,2584570400.0,68.86,7594572.0,56.0297239121388
Dominican Republic,1994,5302644573.33805,208100000.0,14644734599.4778,2.59378305986246,1891.67055679,,717259078.782383,5996926315.58924,8.26076798575834,16.8300135629979,3076037990.67591,69.16,7741694.0,56.5282357577084
Dominican Republic,1995,5860800310.80031,417400000.0,16637370839.1608,5.69998859173715,2109.16940728689,,804848484.848485,6433877233.87723,12.5359594558962,19.1953097355511,3335715827.50583,69.394,7888115.0,57.1317099454393
Dominican Republic,1996,6363901907.43132,134200000.0,18241622547.5908,5.96119319380874,2270.86558687203,20.9601830753133,945391598.816068,6887267086.21176,5.39929385038922,19.3354510903365,3658223788.76378,69.595,8032894.0,57.8287488204273
Dominican Republic,1997,7050603812.48759,408700000.0,20017450041.3075,8.89955230035797,2448.89393535363,17.5702324990029,1415444225.3387,7808997351.90567,8.29656754792045,10.5720111752171,4424137755.73916,69.809,8174078.0,58.6073675691044
Dominican Republic,1998,7435712074.81192,668900000.0,21672215546.7642,6.70585570778992,2607.85457321405,,1586800235.67801,9015949073.63482,4.83166558591895,17.9594395634087,6083256176.19292,69.875,8310362.0,59.4555813779028
